companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
TieTalent,Full-time,Entry level,Saint-Mandé,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
GreenYellow do Brasil,Full-time,Entry level,Champvoisy,41500.0,Services for Renewable Energy,Data Analyst,,11,10,2024
TieTalent,Full-time,Entry level,Aix-en-Provence,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
PwC France,Full-time,Entry level,Neuilly-sur-Seine,41500.0,Business Consulting and Services,Data Analyst,"['Data', 'Datalab', 'Delta', 'Room', 'Intelligence Artificielle', 'Machine Learning']",25,9,2024
Groupement des Mousquetaires,Full-time,Not Applicable,Vert-le-Grand,41500.0,Food Production,Data Analyst,,1,10,2024
Leihia,Full-time,Mid-Senior level,Igny,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",4,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,10,10,2024
HUTTOPIA Jobs,Full-time,Associate,Saint-Genis-les-Ollières,41500.0,Hospitality,Data Analyst,,19,9,2024
Groupe SII,Full-time,Entry level,Montréal,41500.0,IT Services and IT Consulting,Data Analyst,,7,10,2024
OpenClassrooms,Internship,Not Applicable,Nanterre,15030.0,Education,Data Analyst,,8,10,2024
TieTalent,Full-time,Entry level,L’île-Saint-Denis,41500.0,"Technology, Information and Internet",Data Analyst,,6,10,2024
METEOJOB by CleverConnect,Internship,Entry level,Saint-Jean-de-Moirans,41500.0,"Technology, Information and Internet",Data Analyst,,27,9,2024
OpenClassrooms,Internship,Not Applicable,Saint-Priest,15030.0,Education,Data Analyst,['Power BI'],8,10,2024
Allianz France,Full-time,Entry level,Paris,41500.0,Financial Services and Insurance,Data Analyst,['Excel'],24,9,2024
Adsearch,Full-time,Entry level,Condé-sur-Vire,36500.0,Staffing and Recruiting,Data Analyst,"['VBA', 'RPA', 'Excel', 'Power BI', 'SAP']",10,9,2024
